Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tset,Tamb
9.528597978,3.293717516,3.290693819,37.60533276,53.93850415,25.69484847,15.43314517,12.14095925,11.14374621,100,3409.718879,7.237547083,12,30
9.528582155,3.293963823,3.292811748,37.60527375,53.93624484,25.69696405,15.43465141,12.14033342,11.14567762,100,3409.329176,7.238071535,12,30
9.528565965,3.294210687,3.294932744,37.60521283,53.93396784,25.6990772,15.43616526,12.13971866,11.14760351,100,3408.941003,7.238597117,12,30
9.528549538,3.294458255,3.297058423,37.60515049,53.9316704,25.70118794,15.43768052,12.13910684,11.14952405,100,3408.555021,7.239124234,12,30
9.528533,3.29470663,3.299190041,37.60508724,53.92935067,25.70329625,15.43919149,12.13849048,11.15143947,100,3408.171783,7.239653188,12,30
9.528516471,3.29495587,3.301328479,37.60502356,53.92700773,25.70540216,15.44069304,12.13786301,11.15335006,100,3407.791725,7.240184175,12,30
9.528500062,3.295205991,3.30347424,37.60495991,53.92464149,25.70750567,15.44218079,12.1372188,11.15525617,100,3407.41516,7.240717291,12,30
9.528483871,3.29545697,3.305627465,37.60489673,53.92225269,25.70960679,15.44365114,12.13655333,11.15715821,100,3407.042281,7.241252532,12,30
9.528467981,3.295708747,3.30778795,37.60483438,53.91984281,25.71170551,15.44510132,12.13586319,11.15905658,100,3406.67316,7.241789799,12,30
9.528452464,3.29596123,3.309955176,37.6047732,53.91741397,25.71380186,15.44652943,12.13514615,11.16095172,100,3406.307755,7.242328916,12,30
9.528437371,3.296214298,3.312128347,37.60471345,53.91496882,25.71589585,15.44793442,12.13440108,11.16284405,100,3405.945921,7.242869631,12,30
9.52842274,3.296467809,3.314306429,37.60465534,53.91251045,25.71798748,15.44931605,12.13362799,11.16473399,100,3405.58742,7.243411632,12,30
9.52840859,3.296721605,3.316488199,37.604599,53.91004227,25.72007676,15.45067489,12.13282785,11.16662193,100,3405.231933,7.243954563,12,30
9.528394927,3.296975518,3.318672294,37.60454452,53.90756786,25.72216371,15.45201219,12.1320026,11.16850822,100,3404.879078,7.244498034,12,30
9.52838174,3.297229373,3.320857258,37.60449191,53.90509088,25.72424834,15.45332981,12.13115493,11.17039317,100,3404.528424,7.245041635,12,30
