Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tset,Tamb
9.087674037,2.584222952,-3.397856694,35.87705525,58.66723048,14.26240809,8.929410568,12.3274033,4.227290213,98.63394726,3669.722978,5.739259499,10,4
9.087709312,2.584171213,-3.398394245,35.8771962,58.66833534,14.262224,8.929274609,12.32780481,4.227005185,98.63551333,3669.890555,5.739145474,10,4
9.087744536,2.584119529,-3.398931225,35.87733694,58.66943888,14.26203999,8.929138726,12.32820583,4.2267204,98.63707715,3670.057924,5.739031573,10,4
9.08777971,2.584067902,-3.399467633,35.87747749,58.67054112,14.26185607,8.929002922,12.32860636,4.22643586,98.63863873,3670.225084,5.738917795,10,4
9.087814833,2.58401633,-3.400003471,35.87761782,58.67164205,14.26167224,8.928867194,12.32900639,4.226151563,98.64019805,3670.392037,5.738804141,10,4
9.087849906,2.583964814,-3.400538739,35.87775796,58.67274167,14.26148849,8.928731544,12.32940593,4.225867511,98.64175514,3670.558782,5.738690611,10,4
9.087884929,2.583913354,-3.401073436,35.8778979,58.67383999,14.26130484,8.928595971,12.32980498,4.225583702,98.64330998,3670.725319,5.738577204,10,4
9.087919901,2.583861949,-3.401607564,35.87803763,58.674937,14.26112126,8.928460475,12.33020353,4.225300137,98.64486258,3670.891649,5.73846392,10,4
9.087954823,2.5838106,-3.402141122,35.87817717,58.67603271,14.26093778,8.928325057,12.3306016,4.225016816,98.64641295,3671.057772,5.73835076,10,4
9.087989694,2.583759307,-3.402674111,35.8783165,58.67712712,14.26075438,8.928189716,12.33099917,4.224733738,98.64796108,3671.223688,5.738237722,10,4
9.088024516,2.583708069,-3.403206531,35.87845563,58.67822023,14.26057107,8.928054454,12.33139625,4.224450904,98.64950698,3671.389397,5.738124808,10,4
9.088059287,2.583656886,-3.403738383,35.87859456,58.67931204,14.26038785,8.927919268,12.33179284,4.224168313,98.65105065,3671.5549,5.738012017,10,4
9.088094008,2.583605759,-3.404269667,35.87873329,58.68040255,14.26020472,8.927784161,12.33218894,4.223885966,98.65259209,3671.720196,5.737899349,10,4
9.088128679,2.583554688,-3.404800383,35.87887182,58.68149176,14.26002167,8.927649131,12.33258454,4.223603862,98.6541313,3671.885285,5.737786804,10,4
9.0881633,2.583503672,-3.405330532,35.87901015,58.68257967,14.25983872,8.92751418,12.33297966,4.223322001,98.6556683,3672.050168,5.737674381,10,4
9.088197871,2.583452711,-3.405860113,35.87914828,58.68366629,14.25965585,8.927379306,12.33337429,4.223040384,98.65720307,3672.214846,5.737562081,10,4
9.088232392,2.583401806,-3.406389128,35.87928621,58.68475161,14.25947307,8.92724451,12.33376843,4.22275901,98.65873562,3672.379317,5.737449904,10,4
9.088266864,2.583350956,-3.406917577,35.87942394,58.68583564,14.25929038,8.927109792,12.33416209,4.222477879,98.66026596,3672.543583,5.737337849,10,4
9.088301285,2.583300161,-3.407445459,35.87956147,58.68691837,14.25910777,8.926975152,12.33455525,4.222196991,98.66179409,3672.707643,5.737225917,10,4
9.088335657,2.583249421,-3.407972776,35.8796988,58.68799982,14.25892526,8.926840591,12.33494793,4.221916346,98.66332,3672.871498,5.737114107,10,4
9.088369979,2.583198737,-3.408499528,35.87983593,58.68907997,14.25874283,8.926706107,12.33534012,4.221635944,98.66484371,3673.035148,5.73700242,10,4
9.088404252,2.583148107,-3.409025714,35.87997287,58.69015883,14.25856049,8.926571702,12.33573182,4.221355785,98.6663652,3673.198593,5.736890855,10,4
9.088438475,2.583097533,-3.409551336,35.8801096,58.6912364,14.25837824,8.926437376,12.33612304,4.221075869,98.6678845,3673.361832,5.736779411,10,4
9.088472648,2.583047014,-3.410076394,35.88024614,58.69231269,14.25819608,8.926303127,12.33651377,4.220796196,98.66940159,3673.524868,5.73666809,10,4
9.088506772,2.58299655,-3.410600887,35.88038248,58.69338768,14.25801401,8.926168957,12.33690401,4.220516765,98.67091648,3673.687698,5.736556891,10,4
9.088540847,2.582946141,-3.411124817,35.88051863,58.6944614,14.25783203,8.926034866,12.33729377,4.220237577,98.67242918,3673.850325,5.736445814,10,4
