prior for non faulty data,accuracy,false positive
0.115,0.40285714285714286,0.0
0.116,0.40190476190476193,0.0
0.117,0.40015873015873016,0.0
0.11800000000000001,0.40015873015873016,0.0
0.11900000000000001,0.40015873015873016,0.0
0.12,0.40015873015873016,0.0
0.121,0.3973015873015873,0.0
0.122,0.3973015873015873,0.0
0.123,0.3973015873015873,0.0
0.124,0.3952380952380952,0.0
0.125,0.3948015873015873,0.0
0.126,0.3948015873015873,0.0
0.127,0.3948015873015873,0.0
0.128,0.3923809523809524,0.0
0.129,0.3919047619047619,0.0
0.13,0.3919047619047619,0.0
0.131,0.3919047619047619,0.0
0.132,0.3919047619047619,0.0
0.133,0.3919047619047619,0.0
0.134,0.3919047619047619,0.0
0.135,0.3919047619047619,0.0
0.136,0.3919047619047619,0.0
0.137,0.3919047619047619,0.0
0.138,0.3919047619047619,0.0
0.139,0.3919047619047619,0.0
0.14,0.3919047619047619,0.0
0.14100000000000001,0.3919047619047619,0.0
0.14200000000000002,0.3919047619047619,0.0
0.14300000000000002,0.3919047619047619,0.0
0.14400000000000002,0.3919047619047619,0.0
0.145,0.3919047619047619,0.0
0.146,0.3919047619047619,0.0
0.147,0.3919047619047619,0.0
0.148,0.3919047619047619,0.0
0.149,0.3919047619047619,0.0
0.15,0.3919047619047619,0.0
0.151,0.3919047619047619,0.0
0.152,0.3919047619047619,0.0
0.153,0.3919047619047619,0.0
0.154,0.3919047619047619,0.0
0.155,0.3919047619047619,0.0
0.156,0.3905952380952381,0.0
0.157,0.3890873015873016,0.0
0.158,0.3890873015873016,0.0
0.159,0.3890873015873016,0.0
0.16,0.3890873015873016,0.0
0.161,0.3890873015873016,0.0
0.162,0.3890873015873016,0.0
0.163,0.3890873015873016,0.0
0.164,0.3890873015873016,0.0
0.165,0.3890873015873016,0.0
0.166,0.3890873015873016,0.0
0.167,0.3890873015873016,0.0
0.168,0.3890873015873016,0.0
0.169,0.3890873015873016,0.0
0.17,0.3890873015873016,0.0
0.171,0.3867857142857143,0.0
0.17200000000000001,0.38615079365079363,0.0
0.17300000000000001,0.38615079365079363,0.0
0.17400000000000002,0.38615079365079363,0.0
0.17500000000000002,0.38615079365079363,0.0
0.176,0.38615079365079363,0.0
0.177,0.38615079365079363,0.0
0.178,0.38615079365079363,0.0
0.179,0.38615079365079363,0.0
0.18,0.38615079365079363,0.0
0.181,0.38615079365079363,0.0
0.182,0.38615079365079363,0.0
0.183,0.38615079365079363,0.0
0.184,0.38615079365079363,0.0
0.185,0.38615079365079363,0.0
0.186,0.38615079365079363,0.0
0.187,0.38615079365079363,0.0
0.188,0.38615079365079363,0.0
0.189,0.38615079365079363,0.0
0.19,0.38615079365079363,0.0
0.191,0.38615079365079363,0.0
0.192,0.38615079365079363,0.0
0.193,0.38615079365079363,0.0
0.194,0.38615079365079363,0.0
0.195,0.38615079365079363,0.0
0.196,0.38615079365079363,0.0
0.197,0.38615079365079363,0.0
0.198,0.38615079365079363,0.0
0.199,0.38615079365079363,0.0
0.2,0.38615079365079363,0.0
0.201,0.38615079365079363,0.0
0.202,0.38615079365079363,0.0
0.203,0.38615079365079363,0.0
0.20400000000000001,0.38333333333333336,0.0
0.20500000000000002,0.38333333333333336,0.0
0.20600000000000002,0.38333333333333336,0.0
0.20700000000000002,0.38333333333333336,0.0
0.20800000000000002,0.38333333333333336,0.0
0.209,0.38333333333333336,0.0
0.21,0.38333333333333336,0.0
0.211,0.38333333333333336,0.0
0.212,0.38333333333333336,0.0
0.213,0.38333333333333336,0.0
0.214,0.3803968253968254,0.0
0.215,0.3776984126984127,0.0
0.216,0.3776984126984127,0.0
