Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Cpr,Tamb,Tset
8.94423636165616,2.2130756973072,-7.48443367269539,35.3015305176819,62.7546023397444,9.19152360335966,5.20250146703376,12.6869680573743,-0.068343653176953,92.2392279742433,3844.10446112146,4.94540004932528,81.4467706389072,30,0
8.94422109536467,2.21308500447494,-7.48432485833075,35.3014688349713,62.7542881948159,9.19147532201998,5.20246866794719,12.6868263253645,-0.0683400215209531,92.2385426107926,3844.04748293106,4.94542123573185,81.4456388816514,30,0
8.94420583883445,2.21309431903839,-7.48421595737409,35.3014071915579,62.7539740231857,9.19142721290387,5.20243598722743,12.6866846253213,-0.0683362587246279,92.2378576839763,3843.99052195527,4.94544243765718,81.4445074775404,30,0
8.94419059207498,2.21310364096252,-7.48410697023729,35.3013455874802,62.7536598255496,9.191379275732,5.20240342468276,12.6865429574647,-0.0683323650817442,92.2371731942248,3843.9335782722,4.94546365502434,81.4433764281037,30,0
8.94417535509576,2.21311297021235,-7.48399789733116,35.3012840227769,62.7533456026032,9.19133151022561,5.20237098012171,12.6864013220139,-0.0683283408857847,92.2364891419654,3843.87665196028,4.94548488775664,81.4422457348669,30,0
8.9441601279062,2.21312230675291,-7.48388873906578,35.3012224974863,62.7530313550443,9.19128391610553,5.20233865335285,12.6862597191875,-0.0683241864301181,92.2358055276252,3843.81974309813,4.94550613577728,81.4411153993514,30,0
8.94414491051567,2.21313165054935,-7.48377949585142,35.3011610116467,62.7527170835634,9.19123649309347,5.2023064441849,12.6861181492043,-0.0683199020074312,92.2351223516298,3843.76285176323,4.94552739900985,81.4399854230735,30,0
8.94412970293354,2.21314100156688,-7.48367016809613,35.301099565296,62.7524027888535,9.19118924091111,5.2022743524268,12.685976612281,-0.0683154879101835,92.2344396144,3843.70597803347,4.94554867737796,81.4388558075459,30,0
8.94411450516908,2.21315035977073,-7.48356075620831,35.3010381584722,62.7520884716041,9.19114215928033,5.20224237788756,12.6858351086351,-0.0683109444304364,92.2337573163582,3843.64912198638,4.94556997080537,81.4377265542771,30,0
8.94409931723154,2.21315972512621,-7.48345126059536,35.300976791213,62.7517741325055,9.19109524792339,5.20221052037641,12.6856936384829,-0.0683062718601377,92.2330754579219,3843.5922836992,4.94559127921589,81.4365976647713,30,0
8.94408413913014,2.2131690975987,-7.48334168166417,35.3009154635557,62.7514597722432,9.19104850656231,5.20217877970259,12.6855522020406,-0.06830147049061,92.2323940395074,3843.53546324893,4.94561260253363,81.4354691405277,30,0
8.94406897087402,2.21317847715361,-7.48323201982038,35.3008541755378,62.7511453915059,9.19100193491994,5.20214715567562,12.685410799523,-0.0682965406129483,92.2317130615309,3843.47866071286,4.94563394068267,81.4343409830422,30,0
8.94405381247232,2.21318786375647,-7.48312227546978,35.3007929271963,62.7508309909755,9.19095553271904,5.20211564810518,12.6852694311454,-0.0682914825179068,92.2310325244035,3843.42187616717,4.94565529358736,81.433213193806,30,0
8.94403866393411,2.21319725737282,-7.48301244901631,35.3007317185684,62.7505165713352,9.19090929968257,5.20208425680102,12.6851280971215,-0.0682862964957849,92.2303524285376,3843.36510968841,4.94567666117215,81.4320857743062,30,0
8.94402352526842,2.21320665796828,-7.48290254086407,35.3006705496907,62.7502021332668,9.19086323553381,5.20205298157305,12.6849867976651,-0.0682809828368249,92.2296727743407,3843.30836135288,4.94569804336158,81.4309587260257,30,0
8.94400839648423,2.21321606550853,-7.48279255141591,35.3006094205999,62.74988767745,9.19081733999616,5.2020218222313,12.684845532989,-0.0682755418304737,92.2289935622214,3843.25163123653,4.94571944008034,81.4298320504427,30,0
8.94399327759052,2.2132254799593,-7.48268248107462,35.3005483313324,62.7495732045628,9.1907716127933,5.20199077858615,12.6847043033059,-0.0682699737662347,92.228314792582,3843.19491941513,4.9457408512533,81.4287057490322,30,0
8.94397816859617,2.21323490128641,-7.48257233024157,35.3004872819247,62.7492587152818,9.19072605364943,5.20195985044785,12.6845631088277,-0.0682642789329861,92.2276364658305,3843.1382259641,4.94576227680539,81.427579823264,30,0
8.94396306951003,2.21324432945566,-7.48246209931773,35.3004262724126,62.7489442102851,9.19068066228812,5.201929037627,12.6844219497656,-0.068258457619379,92.2269585823623,3843.08155095931,4.94578371666169,81.4264542746042,30,0
8.94394798034095,2.21325376443304,-7.48235178870368,35.3003653028321,62.7486296902427,9.19063543843413,5.20189833993419,12.6842808263307,-0.0682525101137799,92.2262811425791,3843.02489447524,4.94580517074753,81.4253291045148,30,0
8.94393290109767,2.21326320618449,-7.48224139879864,35.3003043732193,62.7483151558301,9.19059038181217,5.2018677571802,12.6841397387328,-0.0682464367040438,92.2256041468807,3842.96825658746,4.9458266389882,81.4242043144532,30,0
8.94391783178894,2.21327265467605,-7.48213093000146,35.3002434836093,62.7480006077175,9.19054549214684,5.20183728917607,12.6839986871817,-0.0682402376777986,92.2249275956593,3842.91163737019,4.94584812130923,81.4230799058731,30,0
8.94390277242347,2.21328210987384,-7.48202038271057,35.3001826340378,62.7476860465734,9.19050076916312,5.20180693573292,12.6838576718866,-0.0682339133223877,92.224251489309,3842.85503689815,4.94586961763627,81.4219558802236,30,0
8.94388772300988,2.213291571744,-7.4819097573228,35.30012182454,62.7473714730663,9.1904562125863,5.20177669666197,12.6837166930557,-0.0682274639247566,92.2235758282221,3842.79845524559,4.94589112789508,81.4208322389497,30,0
8.94387268355678,2.21330104025277,-7.48179905423524,35.3000610551509,62.7470568878631,9.19041182214181,5.20174657177472,12.6835757508972,-0.0682208897716237,92.2229006127882,3842.74189248661,4.94591265201158,81.4197089834922,30,0
8.94385765407275,2.21331051536643,-7.48168827384382,35.3000003259054,62.7467422916272,9.19036759755562,5.20171656088269,12.6834348456185,-0.0682141911489111,92.2222258433932,3842.68534869486,4.94593418991184,81.4185861152877,30,0
8.94384263456629,2.21331999705128,-7.48157741654381,35.2999396368384,62.7464276850263,9.19032353855357,5.2016866637976,12.6832939774265,-0.0682073683424278,92.2215515204262,3842.62882394457,4.94595574152193,81.4174636357694,30,0
8.94382762504589,2.21332948527379,-7.48146648272973,35.2998789879842,62.7461130687178,9.19027964486173,5.20165688033126,12.6831531465273,-0.068200421637755,92.2208776442694,3842.57231830856,4.9459773067683,81.416341546366,30,0
8.94381262551999,2.21333898000036,-7.48135547279549,35.2998183793775,62.7457984433657,9.19023591620646,5.20162721029578,12.6830123531267,-0.0681933513201898,92.2202042153054,3842.51583186042,4.94599888557727,81.4152198485017,30,0
8.94379763599699,2.21334848119756,-7.48124438713421,35.2997578110524,62.7454838096262,9.1901923523144,5.20159765350337,12.68287159743,-0.0681861576745177,92.2195312339151,3842.4593646729,4.94602047787553,81.4140985435965,30,0
8.94378265648522,2.2133579888319,-7.48113322613835,35.2996972830427,62.7451691681612,9.19014895291252,5.20156820976621,12.6827308796417,-0.0681788409851833,92.2188587004743,3842.40291681933,4.94604208358963,81.4129776330667,30,0
8.94376768699302,2.21336750287008,-7.48102199019996,35.2996367953826,62.7448545196235,9.19010571772759,5.20153887889683,12.6825901999662,-0.0681714015364037,92.218186615362,3842.34648837184,4.94606370264651,81.4118571183244,30,0
8.94375272752865,2.21337702327879,-7.48091067970972,35.2995763481057,62.7445398646689,9.19006264648738,5.20150966070787,12.6824495586065,-0.0681638396118842,92.2175149789527,3842.29007940293,4.94608533497318,81.4107370007773,30,0
8.94373777810033,2.21338655002479,-7.48079929505798,35.2995159412455,62.7442252039506,9.19001973891909,5.2014805550121,12.6823089557658,-0.0681561554951031,92.2168437916172,3842.23368998481,4.94610698049668,81.4096172818296,30,0
8.94372283871625,2.21339608307487,-7.4806878366345,35.2994555748356,62.7439105381222,9.18997699475057,5.20145156162249,12.6821683916466,-0.0681483494691406,92.2161730537293,3842.17732018956,4.94612863914421,81.4084979628808,30,0
8.94370790938458,2.21340562239597,-7.48057630482833,35.2993952489089,62.7435958678304,9.18993441370998,5.2014226803521,12.6820278664508,-0.068140421816679,92.2155027656547,3842.12097008865,4.94615031084328,81.4073790453266,30,0
8.94369299011339,2.21341516795495,-7.48046470002726,35.2993349634988,62.7432811937289,9.18989199552516,5.20139391101412,12.6818873803794,-0.0681323728202301,92.2148329277642,3842.06463975405,4.9461719955212,81.4062605305588,30,0
8.94367808091075,2.21342471971883,-7.48035302261951,35.2992747186379,62.7429665164632,9.1898497399248,5.20136525342201,12.6817469336336,-0.0681242027617373,92.2141635404216,3842.00832925706,4.94619369310569,81.4051424199647,30,0
8.94366318178471,2.21343427765473,-7.48024127299163,35.2992145143589,62.7426518366767,9.18980764663758,5.2013367073892,12.6816065264136,-0.068115911923087,92.2134946039882,3841.9520386684,4.94621540352462,81.4040247149281,30,0
8.94364829274323,2.21344384172969,-7.48012945152919,35.2991543506945,62.7423371550183,9.18976571539235,5.20130827272948,12.6814661589184,-0.0681075005854836,92.2128261188277,3841.89576805951,4.94623712670574,81.4029074168278,30,0
8.94363341379424,2.2134534119109,-7.48001755861844,35.2990942276771,62.7420224721308,9.18972394591827,5.20127994925662,12.6813258313479,-0.0680989690299043,92.2121580853015,3841.83951750105,4.94625886257709,81.4017905270397,30,0
8.94361854494566,2.21346298816563,-7.47990559464398,35.2990341453388,62.7417077886532,9.18968233794476,5.20125173678463,12.6811855439006,-0.0680903175370986,92.2114905037644,3841.78328706326,4.94628061106692,81.400674046935,30,0
8.94360368620535,2.21347257046114,-7.4797935599895,35.2989741037117,62.7413931052274,9.18964089120124,5.20122363512775,12.6810452967741,-0.0680815463874183,92.210823374574,3841.72707681667,4.94630237210343,81.3995579778811,30,0
8.94358883758112,2.21348215876478,-7.47968145503853,35.2989141028277,62.7410784224937,9.18959960541764,5.20119564410015,12.6809050901663,-0.0680726558607034,92.2101566980852,3841.67088683137,4.94632414561508,81.398442321241,30,0
8.94357399908075,2.21349175304401,-7.47956928017391,35.2988541427184,62.7407637410868,9.18955848032408,5.20116776351648,12.6807649242741,-0.0680636462367943,92.2094904746492,3841.61471717723,4.94634593153045,81.3973270783743,30,0
8.94355917071197,2.21350135326624,-7.47945703577716,35.2987942234155,62.7404490616448,9.18951751565066,5.20113999319113,12.6806247992936,-0.068054517794792,92.2088247046171,3841.55856792406,4.94636772977816,81.3962122506357,30,0
